timestamp,frame_no,vehicle_id,vehicle_class,plate,confidence,speed_kmh
2025-08-22 04:10:56,147,6,car,CusK,0.14,80.28
2025-08-22 04:10:56,148,4,car,Apos Jeo,0.43,56.38
2025-08-22 04:10:57,148,6,car,KoszzK,0.23,57.40
2025-08-22 04:10:57,149,4,car,Apos Jeo,0.26,48.90
2025-08-22 04:10:57,149,6,car,Cmx,0.11,72.45
2025-08-22 04:10:58,150,4,car,Apos Jeo,0.43,78.63
2025-08-22 04:10:58,150,6,car,K0szzX,0.10,73.45
2025-08-22 04:10:59,151,4,car,Wos ueo,0.27,60.37
2025-08-22 04:10:59,151,6,car,KuiZzX,0.14,123.38
2025-08-22 04:10:59,152,4,car,Wos ueo,0.29,44.53
2025-08-22 04:10:59,152,6,car,MBZX,0.11,38.18
2025-08-22 04:11:00,153,4,car,Ao5 Je0,0.10,60.37
2025-08-22 04:11:00,153,6,car,KiZZK,0.12,121.35
2025-08-22 04:11:01,154,4,car,Apos Jg0,0.12,65.25
2025-08-22 04:11:01,154,6,car,LLiZZX,0.11,76.75
2025-08-22 04:11:01,155,4,car,Apos Je0,0.51,34.58
2025-08-22 04:11:01,155,6,car,QEEK,0.19,43.54
2025-08-22 04:11:02,156,4,car,Apos JEO,0.69,70.20
2025-08-22 04:11:02,156,6,car,DEX,0.10,48.90
2025-08-22 04:11:02,157,4,car,Aros e0,0.48,53.18
2025-08-22 04:11:03,157,6,car,DK,0.20,55.07
2025-08-22 04:11:03,158,4,car,Apos JEO,0.33,49.79
2025-08-22 04:11:03,158,6,car,KEZZK,0.16,45.82
2025-08-22 04:11:04,159,4,car,Apds EO,0.18,65.02
2025-08-22 04:11:04,159,6,car,KOEZIK,0.28,44.53
2025-08-22 04:11:04,160,4,car,Apo5 Jeo,0.18,70.41
2025-08-22 04:11:04,160,6,car,KHDiZZK,0.19,91.96
2025-08-22 04:11:05,161,4,car,Aros Jeo,0.22,51.23
2025-08-22 04:11:05,161,6,car,Los ZzK,0.11,46.45
2025-08-22 04:11:05,162,4,car,Apds Jeo,0.31,48.60
2025-08-22 04:11:05,162,6,car,CoizZ,0.10,53.18
2025-08-22 04:11:06,163,4,car,Apo5 JEO,0.18,87.07
2025-08-22 04:11:06,163,6,car,Kus ZZK,0.15,43.54
2025-08-22 04:11:06,164,4,car,apo5 JEO,0.15,48.90
2025-08-22 04:11:06,164,6,car,Kuszzk,0.17,57.40
2025-08-22 04:11:07,165,4,car,Apds Je0,0.38,76.75
2025-08-22 04:11:07,165,6,car,KSZA,0.13,87.24
2025-08-22 04:11:07,166,4,car,Ap05 Je0,0.24,89.06
2025-08-22 04:11:08,166,6,car,KhoiZZK,0.39,101.89
2025-08-22 04:11:08,167,4,car,Ap0s Je0,0.16,43.54
2025-08-22 04:11:08,167,6,car,CUSZK,0.30,111.19
2025-08-22 04:11:09,168,4,car,Apds Jeo,0.51,75.21
2025-08-22 04:11:09,168,6,car,CosZIK,0.19,95.54
2025-08-22 04:11:10,169,6,car,GHA,0.02,70.41
2025-08-22 04:11:10,170,6,car,DAstIK,0.04,41.13
2025-08-22 04:11:11,171,4,car,MposUJEO,0.12,94.31
2025-08-22 04:11:11,171,6,car,Lo5z7k,0.06,174.31
2025-08-22 04:11:11,172,4,car,APO5 ED ,0.03,75.02
2025-08-22 04:11:12,172,6,car,Coi27K,0.07,97.35
2025-08-22 04:11:12,173,4,car,APOS EQ,0.38,43.54
2025-08-22 04:11:12,173,6,car,CTK,0.08,123.38
2025-08-22 04:11:13,174,4,car,WposJbd,0.25,71.03
2025-08-22 04:11:13,174,6,car,0ozz,0.29,84.35
2025-08-22 04:11:13,175,4,car,Apos JEO,0.14,89.06
2025-08-22 04:11:13,175,6,car,Kh02Z,0.08,43.54
2025-08-22 04:11:14,176,4,car,ApdsJEd ,0.23,31.49
2025-08-22 04:11:14,176,6,car,Cgz,0.03,65.02
2025-08-22 04:11:14,177,6,car,CSZL,0.04,72.04
2025-08-22 04:11:15,178,4,car,Apd5 JEO,0.30,82.60
2025-08-22 04:11:15,178,6,car,Kpi2z,0.10,53.18
2025-08-22 04:11:15,179,4,car,Apd5 Eo,0.15,73.45
2025-08-22 04:11:15,179,6,car,Kh052zr,0.07,51.23
2025-08-22 04:11:16,180,4,car,Apo5 JEO,0.26,80.28
2025-08-22 04:11:16,180,6,car,Ko5zzk,0.12,58.16
2025-08-22 04:11:16,181,4,car,Zr05 eo,0.16,114.42
2025-08-22 04:11:16,181,6,car,RhoszzK,0.30,133.70
2025-08-22 04:11:17,182,4,car,Po5 Jeo,0.07,68.31
2025-08-22 04:11:17,182,6,car,RHosZZK,0.23,80.28
2025-08-22 04:11:17,183,4,car,Apos go,0.32,75.79
2025-08-22 04:11:17,183,6,car,Rhoszzk,0.24,76.75
2025-08-22 04:11:18,184,4,car,Apos Jeo,0.63,76.37
2025-08-22 04:11:18,184,6,car,QHOsK,0.13,184.55
2025-08-22 04:11:18,185,4,car,Apos Jeo,0.32,59.40
2025-08-22 04:11:18,185,6,car,RHOSEK,0.17,57.40
2025-08-22 04:11:19,186,4,car,Apos JEo,0.36,90.52
2025-08-22 04:11:19,186,6,car,KNOSEZK,0.16,55.07
2025-08-22 04:11:19,187,4,car,Apos JEo,0.46,84.52
2025-08-22 04:11:19,187,6,car,KHOSZZK,0.34,114.81
2025-08-22 04:11:20,188,4,car,Apos JEQ ,0.26,72.45
2025-08-22 04:11:20,188,6,car,KHOS ZZK,0.55,50.94
2025-08-22 04:11:20,189,4,car,Apos JEO,0.50,79.73
2025-08-22 04:11:20,189,6,car,KHOSZZK,0.59,88.57
2025-08-22 04:11:21,190,4,car,Apos JEQ,0.51,99.28
2025-08-22 04:11:21,190,6,car,DHZK,0.14,68.31
2025-08-22 04:11:21,191,4,car,Apos JEQ,0.55,66.79
2025-08-22 04:11:21,191,6,car,KHOSZZK,0.79,72.65
2025-08-22 04:11:22,192,4,car,Apos JEO,0.54,65.25
2025-08-22 04:11:22,192,6,car,KHp5ZZK,0.14,73.45
2025-08-22 04:11:23,193,4,car,Apos JEO,0.44,94.31
2025-08-22 04:11:23,193,6,car,KHESZK,0.14,88.57
2025-08-22 04:11:23,194,4,car,Apos JEO ,0.36,87.24
2025-08-22 04:11:23,194,6,car,KHOSZK,0.39,163.97
2025-08-22 04:11:24,195,4,car,Apq5 JEQ,0.29,87.07
2025-08-22 04:11:24,195,6,car,KHSZK,0.54,65.69
